source_dataset,source_ref,job_id,job_title,company_name,city,province,salary,education,experience,industry,major,company_size,company_type,publish_date,description,longitude,latitude,source_url
Kaggle China Jobs Data,polartech/china-jobs-data,148597699,品牌专员（中网巡公司）,成都体育产业投资集团有限责任公司,北京,北京,12.9-15.9万/年,本科,3-4年,娱乐/休闲/体育,,,国企,2023-07-17 19:18:46,品牌专员（中网巡公司） 娱乐/休闲/体育,116.434512,39.890799,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,131766443,销售代表、销售工程师,北京意同创科技有限公司,北京,北京,1.5-3万,本科,3-4年,电子技术/半导体/集成电路,,50-150人,民营,2023-07-17 19:16:27,销售代表、销售工程师 电子技术/半导体/集成电路 电子技术/半导体/集成电路,116.355315,39.981485,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777317,外资大客户销售经理(J10152),北京医百科技有限公司,南京,江苏,1.5-2.5万,大专,5-7年,医疗/护理/卫生,,150-500人,创业公司,2023-07-17 19:15:48,外资大客户销售经理(J10152) 医疗/护理/卫生 互联网/电子商务,118.884320,32.143598,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777702,销售专员,北京有天私募基金管理有限公司,北京,北京,8千-1.2万,大专,3-4年,电子技术/半导体/集成电路,,少于50人,民营,2023-07-17 19:14:31,销售专员 电子技术/半导体/集成电路,116.310799,39.902190,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,148597622,商务主管（中网巡公司）,成都体育产业投资集团有限责任公司,北京,北京,15.5-25.5万/年,本科,2年,娱乐/休闲/体育,,,国企,2023-07-17 19:18:45,商务主管（中网巡公司） 娱乐/休闲/体育,116.434512,39.890799,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,125255519,FAE现场应用工程师,北京意同创科技有限公司,北京,北京,1-2万,本科,3-4年,电子技术/半导体/集成电路,电气工程及其自动化,50-150人,民营,2023-07-17 19:16:27,FAE现场应用工程师 电子技术/半导体/集成电路 电子技术/半导体/集成电路 电气工程及其自动化,116.361510,40.046640,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777302,外资大客户销售经理(J10152),北京医百科技有限公司,上海,上海,1.5-2.5万,大专,5-7年,医疗/护理/卫生,,150-500人,创业公司,2023-07-17 19:15:25,外资大客户销售经理(J10152) 医疗/护理/卫生 互联网/电子商务,121.455102,31.233170,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777694,行政专员/助理,北京有天私募基金管理有限公司,北京,北京,6-8千,大专,1年,电子技术/半导体/集成电路,,少于50人,民营,2023-07-17 19:13:54,行政专员/助理 电子技术/半导体/集成电路,116.310799,39.902190,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777222,资深客服,西安垦斯企业管理咨询有限公司,北京,北京,9千-1.2万,大专,5-7年,专业服务(咨询、人力资源、财会),,,民营,2023-07-17 19:13:47,资深客服 专业服务(咨询、人力资源、财会) 专业服务(咨询、人力资源、财会),116.158406,40.273243,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777162,电话销售专员、银行信贷产品咨询,北京安心融科技有限公司,北京,北京,1.5-2万,中技/中专,1年,金融/投资/证券,,,民营,2023-07-17 19:09:30,电话销售专员、银行信贷产品咨询 金融/投资/证券 金融/投资/证券,116.467373,39.920820,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777288,外资大客户销售经理(J10152),北京医百科技有限公司,北京,北京,1.5-2.5万,大专,5-7年,医疗/护理/卫生,,150-500人,创业公司,2023-07-17 19:14:53,外资大客户销售经理(J10152) 医疗/护理/卫生 互联网/电子商务,116.488284,40.002373,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777655,线上淘宝客服（手机办公）,海南藕池口运输有限公司,北京,北京,500元/天,不限,无需经验,互联网/电子商务,,少于50人,民营,2023-07-17 19:08:28,线上淘宝客服（手机办公） 互联网/电子商务,0.000000,0.000000,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,141870126,医疗器械销售经理/主管,博联众科（武汉）科技有限公司,北京,北京,1-2万·13薪,本科,3-4年,医疗设备/器械,,50-150人,民营,2023-07-17 19:06:54,医疗器械销售经理/主管 医疗设备/器械 仪器仪表/工业自动化,116.372627,39.930699,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777155,SFE销售运营专员-药企,河北淼聘人力资源服务有限公司,北京,北京,1-1.5万·13薪,本科,1年,专业服务(咨询、人力资源、财会),,少于50人,民营,2023-07-17 19:06:41,SFE销售运营专员-药企 专业服务(咨询、人力资源、财会) 专业服务(咨询、人力资源、财会),116.488540,39.915243,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,138857549,北京电子元器件FAE,上海肯奥电子有限公司,北京,北京,1-2万,本科,1年,电子技术/半导体/集成电路,,少于50人,民营,2023-07-17 19:05:03,北京电子元器件FAE 电子技术/半导体/集成电路 电子技术/半导体/集成电路,116.305044,39.965505,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,146046345,销售专员,浙江彩易达光电有限公司,北京,北京,8千-1.5万,大专,1年,电子技术/半导体/集成电路,,150-500人,民营,2023-07-17 19:04:55,销售专员 电子技术/半导体/集成电路 电子技术/半导体/集成电路,116.255293,40.082439,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149777128,店员,保善龙时装(上海)有限公司,北京,北京,8千-1.4万,高中,3-4年,批发/零售,,150-500人,外资（非欧美）,2023-07-17 19:04:16,店员 批发/零售 批发/零售,116.486024,39.916344,https://www.kaggle.com/datasets/polartech/china-jobs-data
Kaggle China Jobs Data,polartech/china-jobs-data,149767283,短视频客户端开发,美团,北京,北京,3-4.5万,不限,3-4年,互联网/电子商务,,10000人以上,已上市,2023-07-17 19:04:10,短视频客户端开发 互联网/电子商务,116.494659,40.014736,https://www.kaggle.com/datasets/polartech/china-jobs-data
